project_name,label_name
coder,Javascript
coder,IDE
coder,Remote Access
novnc,Javascript
novnc,Remote Access
planka,Javascript
planka,Collaboration
portainer,Go
portainer,Docker
portainer,DevOps
cockpit,C
cockpit,Javascript
cockpit,DevOps
jitsi,Javascript
jitsi,Java
jitsi,Python
jitsi,Lua
jitsi,Collaboration
koel,PHP
koel,Media
jupyter,Python
jupyter,Notebook
nextcloud,PHP
nextcloud,Cloud Storage
gitea,Go
gitea,DevOps
connections,Python
connections,Dart
pocketbase,Go
pocketbase,Self-Hosting
minIO,Go
minIO,Cloud Storage
superset,Apache
superset,Python
superset,Dashboard
superset,Analytics
metabase,Java
metabase,Dashboard
metabase,Analytics
grafana,Go
grafana,Dashboard
dbeaver,Java
dbeaver,Javascript
dbeaver,Database
uptime-kuma,Javascript
uptime-kuma,Monitoring
tomcat,Apache
tomcat,Java
tomcat,Web Server
hadoop,Apache
hadoop,Java
react-app,Javascript
next,Javascript
aimeos,PHP
aimeos,E-Commerce
prestashop,PHP
prestashop,E-Commerce
drawdb,Javascript
drawdb,Database
zookeeper,Apache
zookeeper,Java
evershop,Javascript
evershop,E-Commerce
medusa,Javascript
medusa,E-Commerce
bagisto,PHP
bagisto,E-Commerce
lunar,PHP
lunar,E-Commerce
ofbiz,Java
ofbiz,Apache
ofbiz,E-Commerce
ofbiz,Web Server
microweber,PHP
microweber,E-Commerce
opencart,PHP
opencart,E-Commerce
pimcore,PHP
pimcore,E-Commerce
pimcore,Dashboard
pimcore,Analytics
shopware,PHP
shopware,E-Commerce
sylius,PHP
sylius,E-Commerce
solidus,Ruby
solidus,E-Commerce
hoppscotch,Javascript
hoppscotch,API
hoppscotch,Analytics
nocobase,Javascript
nocobase,Collaboration
nocodb,Javascript
nocodb,Data Science
nocodb,Database
restfox,Javascript
restfox,API
restfox,Analytics
jellyfin,C
jellyfin,Cloud Storage
jellyfin,Web Server
docmost,Javascript
docmost,Documentation
n8n,Javascript
n8n,Automation
directus,Javascript
directus,API
syncthing,Go
syncthing,Remote Access
neo4j,Java
neo4j,Database
focalboard,Javascript
focalboard,Go
focalboard,Collaboration
mattermost,Javascript
mattermost,Go
mattermost,Collaboration
age-viewer,C
age-viewer,Database
pyload,Python
pyload,Web Server
pyload,Dashboard
vikunja,Go
vikunja,Collaboration
vikunja,Monitoring
docpress,Javascript
docpress,Documentation

docfx,Dotnet
docfx,Documentation
docsify,Javascript
docsify,Documentation
documize,Javascript
documize,Go
documize,Documentation
docus,Javascript
docus,Documentation
docusaurus,Javascript
docusaurus,Documentation
fumadocs,Javascript
fumadocs,Documentation
mkdocs,Python
mkdocs,Documentation
vocs,Javascript
vocs,Documentation
garagehq,Rust
garagehq,Media
garagehq,Cloud Storage
gogs,Go
gogs,Collaboration
bytebase,Go
bytebase,Database
chartdb,Javascript
chartdb,Database
dremio,Java
dremio,Data Science
dremio,Database
beszel,Go
beszel,Dashboard
ghost,Javascript
ghost,Web Framework
ghost,Web Server